Event Name,Game Day,Game Day of Wk,Section,Row,Seat Qty,Acc #,Sale Date,Section Name,Promo Code,Comp,Current Block Price,Sale Day,Net Revenue,,
TML1028,2023-10-28,Sat,103,20,11,342295,2023-10-21,Family Zone,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,103,20,5,342295,2023-10-21,Family Zone,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,103,20,14,342295,2023-10-21,Family Zone,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,103,20,3,342295,2023-10-21,Family Zone,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,103,21,17,342295,2023-10-21,Family Zone,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,103,12,14,342295,2023-10-21,Family Zone,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,104,12,4,16033035,2023-10-27,Defensive Ends,,N,123.00,Fri,117.14,,
TML1028,2023-10-28,Sat,104,6,4,15987173,2023-10-20,Defensive Ends,,N,123.00,Fri,117.14,,
TML1028,2023-10-28,Sat,104,6,1,15916520,2023-10-20,Defensive Ends,,N,30.75,Fri,29.29,,
TML1028,2023-10-28,Sat,104,6,2,15905624,2023-10-14,Defensive Ends,,N,61.50,Sat,58.57,,
TML1028,2023-10-28,Sat,104,4,4,15989945,2023-10-23,Defensive Ends,,N,123.00,Mon,117.14,,
TML1028,2023-10-28,Sat,104,4,4,3008306,2023-10-21,Defensive Ends,,N,123.00,Sat,117.14,,
TML1028,2023-10-28,Sat,104,6,2,5482470,2023-10-20,Defensive Ends,,N,61.50,Fri,58.57,,
TML1028,2023-10-28,Sat,104,9,3,12772376,2023-09-11,Defensive Ends,,N,92.25,Mon,87.86,,
TML1028,2023-10-28,Sat,104,4,3,15981551,2023-10-22,Defensive Ends,,N,92.25,Sun,87.86,,
TML1028,2023-10-28,Sat,104,11,2,1901926,2023-10-28,Defensive Ends,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,104,14,2,1901926,2023-10-28,Defensive Ends,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,104,2,6,13701037,2023-10-22,Defensive Ends,,Y,0.00,Sun,0.00,,
TML1028,2023-10-28,Sat,104,17,2,15911899,2023-10-14,Defensive Corner - Upper,,N,49.50,Sat,47.14,,
TML1028,2023-10-28,Sat,104,17,2,15876998,2023-10-11,Defensive Corner - Upper,,N,49.50,Wed,47.14,,
TML1028,2023-10-28,Sat,104,18,2,13195905,2023-09-11,Defensive Corner - Upper,,N,49.50,Mon,47.14,,
TML1028,2023-10-28,Sat,105,1,4,14340133,2023-10-24,Club Glass,,Y,0.00,Tue,0.00,,
TML1028,2023-10-28,Sat,105,14,1,16055570,2023-10-28,Defensive Ends,,N,30.75,Sat,29.29,,
TML1028,2023-10-28,Sat,105,14,1,16055570,2023-10-28,Defensive Ends,,N,30.75,Sat,29.29,,
TML1028,2023-10-28,Sat,105,4,1,16057478,2023-10-28,Defensive Ends,,N,30.75,Sat,29.29,,
TML1028,2023-10-28,Sat,105,4,1,16053245,2023-10-28,Defensive Ends,,N,30.75,Sat,29.29,,
TML1028,2023-10-28,Sat,105,14,1,16055570,2023-10-28,Defensive Ends,,N,30.75,Sat,29.29,,
TML1028,2023-10-28,Sat,105,5,2,15865754,2023-09-10,Defensive Ends,,N,61.50,Sun,58.57,,
TML1028,2023-10-28,Sat,105,4,2,13040794,2023-10-28,Defensive Ends,,N,61.50,Sat,58.57,,
TML1028,2023-10-28,Sat,105,11,2,14956345,2023-10-15,Defensive Ends,,N,61.50,Sun,58.57,,
TML1028,2023-10-28,Sat,105,2,4,13813614,2023-09-18,Defensive Ends,,N,123.00,Mon,117.14,,
TML1028,2023-10-28,Sat,105,4,1,7436122,2023-10-28,Defensive Ends,,N,30.75,Sat,29.29,,
TML1028,2023-10-28,Sat,105,4,1,7436122,2023-10-28,Defensive Ends,,N,30.75,Sat,29.29,,
TML1028,2023-10-28,Sat,105,3,4,15987378,2023-10-23,Defensive Ends,,N,123.00,Mon,117.14,,
TML1028,2023-10-28,Sat,105,2,3,13332979,2023-10-19,Defensive Ends,,N,92.25,Thu,87.86,,
TML1028,2023-10-28,Sat,105,2,4,14522038,2023-09-05,Defensive Ends,,N,123.00,Tue,117.14,,
TML1028,2023-10-28,Sat,105,18,2,15804433,2023-10-20,Defensive Corner - Upper,,N,49.50,Fri,47.14,,
TML1028,2023-10-28,Sat,105,16,1,9868711,2023-09-01,Defensive Corner - Upper,,N,24.75,Fri,23.57,,
TML1028,2023-10-28,Sat,105,16,2,9868711,2023-09-01,Defensive Corner - Upper,,N,49.50,Fri,47.14,,
TML1028,2023-10-28,Sat,105,18,3,15803472,2023-10-20,Defensive Corner - Upper,,N,74.25,Fri,70.71,,
TML1028,2023-10-28,Sat,105,16,4,13469054,2023-09-28,Defensive Corner - Upper,,N,99.00,Thu,94.29,,
TML1028,2023-10-28,Sat,106,4,2,10802876,2023-10-19,Defensive Ends,,N,61.50,Thu,58.57,,
TML1028,2023-10-28,Sat,106,2,3,13208850,2023-10-13,Defensive Ends,,N,92.25,Fri,87.86,,
TML1028,2023-10-28,Sat,106,13,2,16055088,2023-10-28,Defensive Ends,,N,61.50,Sat,58.57,,
TML1028,2023-10-28,Sat,106,13,4,13046466,2023-10-27,Defensive Ends,,N,123.00,Fri,117.14,,
TML1028,2023-10-28,Sat,106,4,4,11845534,2023-10-19,Defensive Ends,,N,123.00,Thu,117.14,,
TML1028,2023-10-28,Sat,106,3,9,15921520,2023-10-16,Defensive Ends,,N,276.75,Mon,263.57,,
TML1028,2023-10-28,Sat,106,12,14,329813,2023-10-14,Defensive Ends,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,106,13,4,329813,2023-10-14,Defensive Ends,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,106,14,6,329813,2023-10-14,Defensive Ends,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,106,16,2,15814276,2023-10-27,Defensive Corner - Upper,,N,49.50,Fri,47.14,,
TML1028,2023-10-28,Sat,106,16,2,14111184,2023-10-28,Defensive Corner - Upper,,N,49.50,Sat,47.14,,
TML1028,2023-10-28,Sat,106,17,5,13374973,2023-10-27,Defensive Corner - Upper,,N,123.75,Fri,117.86,,
TML1028,2023-10-28,Sat,106,16,2,15982676,2023-10-22,Defensive Corner - Upper,,N,49.50,Sun,47.14,,
TML1028,2023-10-28,Sat,106,18,3,13138820,2023-09-20,Defensive Corner - Upper,,N,66.69,Wed,63.51,,
TML1028,2023-10-28,Sat,107,15,1,16057061,2023-10-28,Defensive Ends,,N,30.75,Sat,29.29,,
TML1028,2023-10-28,Sat,107,15,1,16057061,2023-10-28,Defensive Ends,,N,30.75,Sat,29.29,,
TML1028,2023-10-28,Sat,107,15,1,16057451,2023-10-28,Defensive Ends,,N,30.75,Sat,29.29,,
TML1028,2023-10-28,Sat,107,13,2,14299145,2023-10-28,Defensive Ends,,N,61.50,Sat,58.57,,
TML1028,2023-10-28,Sat,107,13,1,13376822,2023-10-28,Defensive Ends,,N,30.75,Sat,29.29,,
TML1028,2023-10-28,Sat,107,7,1,16045761,2023-10-28,Defensive Ends,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,107,15,1,16037286,2023-10-27,Defensive Ends,,N,30.75,Fri,29.29,,
TML1028,2023-10-28,Sat,107,6,3,16052194,2023-10-19,Defensive Ends,,N,92.25,Thu,87.86,,
TML1028,2023-10-28,Sat,107,19,2,15565870,2023-09-02,Defensive Ends,,N,61.50,Sat,58.57,,
TML1028,2023-10-28,Sat,107,12,2,15986047,2023-10-22,Defensive Ends,,N,61.50,Sun,58.57,,
TML1028,2023-10-28,Sat,107,4,2,13490812,2023-10-23,Defensive Ends,,N,61.50,Mon,58.57,,
TML1028,2023-10-28,Sat,107,15,1,15808631,2023-10-28,Defensive Ends,,N,30.75,Sat,29.29,,
TML1028,2023-10-28,Sat,107,12,3,15904648,2023-10-14,Defensive Ends,,N,92.25,Sat,87.86,,
TML1028,2023-10-28,Sat,107,10,2,6504905,2023-10-27,Defensive Ends,,N,61.50,Fri,58.57,,
